transaction_id,user_id,item_id,quantity,price_per_unit,total_price,timestamp,discount_applied,payment_method_x,item_name,stock_level,restock_threshold,supplier_id,cost_per_unit,selling_price,profit_margin,last_restock_date,warehouse_id,supplier_name,average_delivery_time,reliability_score,user_name,email,age,payment_method_y,location,total_stock_value,operating_costs,profit_generated,staff_count,space_utilization,category,year,month,day,weekday,avg_sales_7d,avg_sales_30d,profit_per_unit,discount_rate,adjusted_restock_time
T00001,125,721,7,398.3,2788.1,2025-01-17 18:21:16.969228,30,PayPal,Item_728,0.7174348697394789,0.7045454545454546,3,460.67,115.75,0.15000000000000002,2024-11-09 18:21:16.959310,2,Supplier_4,2,94,User_126,user126@example.com,51,Debit Card,City_3,0.2477745761403689,1.0,0.5830956733698964,0.31707317073170727,1.0000000000000002,4,2025,1,17,4,0.75,0.75,0.08430478121304275,0.01955048084795162,0.035294117647058865
T00002,174,27,6,824.27,4945.62,2025-01-10 18:21:16.969248,21,Net Banking,Item_28,0.48096192384769537,0.75,4,85.87,774.43,0.5,2024-09-21 18:21:16.954043,5,Supplier_5,8,99,User_175,user175@example.com,20,Credit Card,City_6,0.20901296663150581,0.17588119314185563,0.8070749542961608,0.0,0.04444444444444451,2,2025,1,10,4,0.625,0.625,0.8118206904319423,0.006612966097537689,0.011764705882352955
T00003,250,543,2,213.87,427.74,2024-09-07 18:21:16.969254,9,Debit Card,Item_548,0.12024048096192384,0.4545454545454546,12,17.55,802.81,0.15000000000000002,2024-04-04 18:21:16.958051,6,Supplier_13,13,93,User_251,user251@example.com,57,Net Banking,City_7,0.1781046592400113,0.46490793160303934,0.6753260207190737,0.8292682926829268,0.6888888888888889,2,2024,9,7,5,0.125,0.125,0.879892436785493,0.010922929613885721,0.4999999999999997
T00004,20,369,1,867.05,867.05,2025-01-09 18:21:16.969260,17,Net Banking,Item_372,0.4989979959919839,0.5681818181818182,4,132.04,458.35,0.7,2024-07-10 18:21:16.956888,0,Supplier_5,8,99,User_21,user21@example.com,45,Debit Card,City_1,0.21569888600169806,0.9410577776752873,0.5525411334552102,0.951219512195122,0.0,4,2025,1,9,3,0.0,0.0,0.5568156220082221,0.005089220570500172,0.011764705882352955
T00005,484,823,4,502.78,2011.12,2024-12-26 18:21:16.969265,12,Net Banking,Item_832,0.3486973947895791,0.7272727272727273,9,15.4,63.96,0.375,2024-05-20 18:21:16.960030,4,Supplier_10,10,87,User_485,user485@example.com,25,Net Banking,City_5,0.6569888600169801,0.6859758558267707,0.0,1.0000000000000002,0.26666666666666683,4,2024,12,26,3,0.375,0.375,0.3612941375232303,0.006195120348255007,0.7294117647058824
T00006,439,525,4,372.49,1489.96,2024-11-20 18:21:16.969271,7,Debit Card,Item_530,0.8597194388777555,0.20454545454545453,11,194.15,218.66,0.5,2025-02-02 18:21:16.957928,4,Supplier_12,6,90,User_440,user440@example.com,36,PayPal,City_5,0.6569888600169801,0.6859758558267707,0.0,1.0000000000000002,0.26666666666666683,3,2024,11,20,2,0.375,0.375,0.34436419440220756,0.004877866578268223,0.3176470588235294
T00007,104,343,6,665.81,3994.86,2025-02-11 18:21:16.969276,8,PayPal,Item_345,0.9839679358717434,0.6363636363636364,15,199.6,761.39,0.025000000000000022,2025-01-30 18:21:16.956627,0,Supplier_16,12,97,User_105,user105@example.com,34,Debit Card,City_1,0.21569888600169806,0.9410577776752873,0.5525411334552102,0.951219512195122,0.0,1,2025,2,11,1,0.625,0.625,0.7225812355690713,0.0031187902541722637,0.17647058823529432
T00008,65,415,5,347.98,1739.9,2025-01-24 18:21:16.969284,14,Credit Card,Item_419,0.4989979959919839,0.0,12,494.48,317.27,0.275,2024-11-16 18:21:16.957210,3,Supplier_13,13,93,User_66,user66@example.com,24,PayPal,City_4,1.0,0.4999711745782841,1.0,0.29268292682926833,0.8222222222222222,1,2025,1,24,4,0.5,0.5,0.20236385650729288,0.01044287902603098,0.4999999999999997
T00009,442,194,9,353.82,3184.38,2024-10-23 18:21:16.969291,7,Net Banking,Item_196,0.8396793587174348,0.8636363636363636,8,216.12,154.06,0.675,2024-06-21 18:21:16.955226,9,Supplier_9,6,82,User_443,user443@example.com,24,Net Banking,City_10,0.2651566801306954,0.0,0.3252589884216941,0.14634146341463414,0.48888888888888893,0,2024,10,23,2,1.0,1.0,0.28342343864391506,0.005135256689104997,0.6000000000000003
T00010,262,77,8,736.19,5889.52,2024-12-18 18:21:16.969297,32,Net Banking,Item_78,0.533066132264529,0.5454545454545454,16,171.01,496.11,0.75,2025-01-05 18:21:16.954495,0,Supplier_17,2,97,User_263,user263@example.com,50,Net Banking,City_1,0.21569888600169806,0.9410577776752873,0.5525411334552102,0.951219512195122,0.0,4,2024,12,18,2,0.875,0.875,0.5559638452441291,0.01128253162433847,0.0
